time,open,high,low,close,volume
08-09-2020,2092,2121,2080.5,2107.1,12643762
09-09-2020,2085,2167.8,2081.45,2161.35,25526055
10-09-2020,2183.1,2344.95,2175.35,2314,64751766
11-09-2020,2312,2337.85,2287.1,2319.75,27445883
14-09-2020,2325,2360,2282,2302.55,20335480
15-09-2020,2311.95,2325.75,2288.15,2318.85,12543161
16-09-2020,2320,2369.35,2310.55,2324.55,15669133
17-09-2020,2320,2333.7,2291.85,2298.75,11919991
18-09-2020,2314.25,2319.45,2276.55,2305.7,15264101
21-09-2020,2300,2336,2247.35,2255.85,15519433
22-09-2020,2277,2277,2201.55,2211.15,16056621
23-09-2020,2260,2276.75,2205.3,2230.8,19839809
24-09-2020,2207.9,2226,2176.05,2181.2,13765321
25-09-2020,2189,2212.8,2167.3,2201.7,13095950
28-09-2020,2227,2238,2207.05,2216.25,9076787
29-09-2020,2225,2264,2216.25,2245.05,11927459
30-09-2020,2260,2267,2225,2234.35,11291280
01-10-2020,2263.8,2263.8,2214,2225.25,9591467
05-10-2020,2244,2249.15,2206,2212.2,8732890
06-10-2020,2225.25,2233.9,2201.65,2210.35,8497352
07-10-2020,2235,2309,2220,2257.5,24538620
08-10-2020,2259,2268,2222.1,2239.25,9727508
09-10-2020,2235,2253,2217.1,2233.45,8558747
12-10-2020,2235,2255.75,2226.25,2237.05,6565525
13-10-2020,2230.6,2285.75,2225.85,2280.7,10666280
14-10-2020,2278.9,2304,2268.5,2287.5,12341487
15-10-2020,2290,2290,2195,2206.5,9246893
16-10-2020,2215,2232.5,2172.65,2175.8,9961080
19-10-2020,2190.05,2228.7,2155.15,2176.2,14399062
20-10-2020,2179,2193,2152.25,2155.9,8529621
21-10-2020,2168,2192,2097.75,2124.6,15729989
22-10-2020,2127.4,2132.5,2091,2106.95,14215255
23-10-2020,2106,2135,2096.4,2113.05,10809383
26-10-2020,2101.95,2101.95,2018.5,2029.1,17225340
27-10-2020,2034.9,2059.85,2005,2034.5,16835011
28-10-2020,2041.8,2057.7,2007.4,2011.45,13810054
29-10-2020,1997,2042,1991,2026.9,14147681
30-10-2020,2033.5,2065.1,2021.8,2054.5,15701123
02-11-2020,2027,2027,1859.15,1877.45,45857806
03-11-2020,1890,1909,1835.1,1850.4,40931170
04-11-2020,1837,1929,1837,1913.2,37003111
05-11-2020,1954.95,1960.95,1932,1955,17170274
06-11-2020,1990,2040,1978.15,2029.15,30770080
09-11-2020,2062.1,2069,2036,2050.7,16539467
10-11-2020,2077,2090,2041.2,2084.55,17045147
11-11-2020,2089,2095,1978.1,1997.2,26178477
12-11-2020,1981,2008.45,1965,1980,18481466
13-11-2020,1982,2036.65,1981.75,1996.4,20946864
14-11-2020,2014.9,2015.3,1995.35,2002.3,2411900
17-11-2020,2085,2085,1985,1993.25,21479385
18-11-2020,1993.25,2006.5,1960.1,1987.2,14030652
19-11-2020,1987.2,2010.45,1968.2,1973.15,12828008
20-11-2020,1975,1983.8,1895,1899.5,26522972
23-11-2020,1951,1970,1926.25,1950.7,20918665
24-11-2020,1964,1974,1932,1964.05,14277083
25-11-2020,1980,1992.95,1942.2,1947.8,15062376
26-11-2020,1953.05,1965,1930.05,1952.6,11924527
27-11-2020,1940.5,1956.1,1921.4,1929.8,21845931
01-12-2020,1940.35,1966.25,1930.05,1954.9,9114939
02-12-2020,1958.5,1962,1935,1958.15,10240168
03-12-2020,1972,1981.1,1958.65,1964.05,12822945
04-12-2020,1969,1969,1940,1946.75,8521388
07-12-2020,1940.6,1965,1940.6,1958.2,8418767
08-12-2020,1961.15,2014.25,1950,1993.75,20030506
09-12-2020,2009.95,2033.8,1999.25,2026.95,13464375
10-12-2020,2021.6,2028.5,2001,2007,7414229
11-12-2020,2013,2038,1974.25,2005.8,12434745
14-12-2020,2007.95,2015,1986.35,1991.3,7989830
15-12-2020,1989.7,1989.7,1961.1,1974.35,8561406
16-12-2020,1988,1994.95,1965.7,1976.55,8565904
17-12-2020,1984.5,2005,1977.15,1985.6,9346460
18-12-2020,1980.1,2004.9,1965,1991.55,8522215
21-12-2020,2010,2022,1855.25,1939.7,20368545
22-12-2020,1949,1958.9,1888.45,1936.7,12986606
23-12-2020,1930,1951.45,1920.65,1943.85,8999898
24-12-2020,1947,1998.8,1945.9,1994.15,9588577
28-12-2020,2006.7,2018,1995.3,2003.3,7947719
29-12-2020,2009,2012.3,1982.55,1990.05,8589407
30-12-2020,1995.25,2007.2,1975.55,1995.5,10173132
31-12-2020,1993.5,2011.9,1978.6,1985.3,8667516
01-01-2021,1988,1997,1982,1987.5,4622002
04-01-2021,1995.1,1998.9,1968,1990.85,11312992
05-01-2021,1969,1983.6,1956,1966.1,11132803
06-01-2021,1965.9,1966,1905.15,1914.25,21414270
07-01-2021,1920.5,1945,1905.15,1911.15,14918406
08-01-2021,1918,1938.4,1912.1,1933.7,12709792
11-01-2021,1938.8,1938.8,1892.5,1897.25,15371556
12-01-2021,1903,1960,1899.9,1957.05,18996047
13-01-2021,1963.55,1974.95,1918.45,1938.8,12284876
14-01-2021,1945,1966.9,1939.05,1960.6,9946818
15-01-2021,1960.6,1973.8,1920.05,1937.45,9503790
18-01-2021,1949.1,1997,1923.35,1983.95,16198856
19-01-2021,1994.65,2031,1994.65,2016.4,14771048
20-01-2021,2021.4,2058,2001.4,2054.7,14271669
21-01-2021,2082,2120,2075,2099.4,18038987
22-01-2021,2111,2115.35,2035.15,2049.6,14090818
25-01-2021,2034.95,2034.95,1932,1941,25016570
27-01-2021,1925,1925,1888,1895,19553809
28-01-2021,1880.15,1923.3,1870,1876.55,15722291
29-01-2021,1894.3,1913.1,1830,1841.95,20173258
01-02-2021,1859.4,1905,1848,1895.3,15774504
02-02-2021,1914.25,1940,1854.95,1925.8,19138414
03-02-2021,1928.3,1952,1900,1930.65,13984228
04-02-2021,1924,1940,1905,1924.3,11826848
05-02-2021,1930.05,1944.65,1920,1923.75,9344470
08-02-2021,1933.05,1969,1929.05,1951.45,9776136
09-02-2021,1961.95,1989.6,1952.3,1956.15,9047308
10-02-2021,1953.75,1984.75,1927.3,1974.3,9799560
11-02-2021,1980,2064.2,1972.25,2055.7,19631870
12-02-2021,2055.5,2078,2015.4,2041.6,14074374
15-02-2021,2048.05,2061.3,2025,2032.6,7287590
16-02-2021,2039.75,2079.4,2035,2059.5,9886093
17-02-2021,2060,2095.95,2050.6,2083.25,10957388
18-02-2021,2085,2108.4,2059.1,2067.7,8605531
19-02-2021,2057,2104.95,2053.3,2080.3,10800704
22-02-2021,2080,2089.9,1994.95,2008.1,10985697
23-02-2021,2048,2052.9,2013.6,2023.45,11834752
24-02-2021,2030,2065.25,2026.15,2061,4987735
25-02-2021,2076,2152,2073,2144.35,16085897
26-02-2021,2117,2133.9,2070.7,2085.8,17297575
01-03-2021,2110.2,2112,2062.5,2101.7,8159670
02-03-2021,2122,2130,2089.1,2106,7915073
03-03-2021,2121.05,2219.9,2107.2,2202.1,14733134
04-03-2021,2180,2189.95,2157.7,2175.85,9892597
05-03-2021,2156,2211.95,2153.05,2178.7,11773630
08-03-2021,2168.5,2231.9,2168,2191.1,9002404
09-03-2021,2200,2213.8,2146.6,2191.05,6993792
10-03-2021,2207,2215.1,2170.25,2181.95,5316182
12-03-2021,2195,2206.4,2123.9,2137.6,7783173
15-03-2021,2140.05,2148.9,2080.5,2108.9,7706302
16-03-2021,2114,2126,2095.5,2100.6,6402757
17-03-2021,2098.05,2103,2035.1,2055.35,8865521
18-03-2021,2072.9,2084.8,2001,2009.1,9528809
19-03-2021,1991,2095.85,1982.8,2082,19284892
22-03-2021,2071,2074,2033.2,2062.4,8571196
23-03-2021,2061.95,2109.7,2056,2087.5,8039865
24-03-2021,2079.75,2079.75,2040.4,2047.3,7763726
25-03-2021,2054,2054,1985,1991.45,10153757
26-03-2021,2012,2013.7,1973.7,1994.65,9313160
30-03-2021,2008,2048.9,1991.55,2029.3,9433850
31-03-2021,2018,2049.9,1999,2003.1,7499740
01-04-2021,2018,2030,2003.15,2021.85,5410307
05-04-2021,2024.95,2025,1962.1,1992.6,6864856
06-04-2021,2004,2004.95,1969,1984.3,6465241
07-04-2021,2000,2046.9,1993.3,2002.85,11198918
08-04-2021,2011,2022,1993,2005.35,7092878
09-04-2021,1998.45,2006.35,1980,1982.05,6478482
12-04-2021,1959,1961.4,1900.25,1911.15,9646031
13-04-2021,1924,1940.6,1917.85,1931.8,8958261
15-04-2021,1926.3,1961,1913,1944.3,9102492
